product_name,product_price,product_brand,product_link
Taladro de Percusión Makita HP1641K 680 W,$81.310,Makita,https://herramientas.cl/ficha/575590/taladro-de-percusion-makita-hp1641k-680-w
Taladro Percutor Dongcheng DZJ20 720W,$68.610,Dongcheng,https://herramientas.cl/ficha/605788/taladro-percutor-dongcheng-dzj20-720w
Taladro Percutor Skil 6555 570W,,Skil,https://herramientas.cl/ficha/606287/taladro-percutor-skil-6555-570w
Taladro Percusión Makita HP2050FH 720 W,$110.690,Makita,https://herramientas.cl/ficha/575591/taladro-percusion-makita-hp2050fh-720-w
Taladro Rotación 10 mm. 350 W. 0 - 3.000 rpm. MAKITA MT (Reemplaza a modelo MDP60) Makita-Mt M0600G,$33.770,Makita-Mt,https://herramientas.cl/ficha/589336/taladro-rotacion-10-mm-350-w-0-3000-rpm-makita-mt-reemplaza-a-modelo-mdp60-makita-mt-m0600g
Taladro Bosch GBM 6 RE 350 W,,Bosch,https://herramientas.cl/ficha/575167/taladro-bosch-gbm-6-re-350-w
Taladro Bosch GBM 13 RE 750 W,,Bosch,https://herramientas.cl/ficha/575008/taladro-bosch-gbm-13-re-750-w
Taladro Reversible Makita DP4000 950 rpm,$253.450,Makita,https://herramientas.cl/ficha/575592/taladro-reversible-makita-dp4000-950-rpm
Taladro percutor Makita Makita-Mt M8100KG 13 mm Veloc. Variable,$48.640,Makita-Mt,https://herramientas.cl/ficha/588223/taladro-percutor-makita-makita-mt-m8100kg-13-mm-veloc-variable
Taladro de Impacto Bosch GSB 16 RE 750 W,,Bosch,https://herramientas.cl/ficha/589545/taladro-de-impacto-bosch-gsb-16-re-750-w
Taladro Reversible Makita DP4700 510 W,$202.080,Makita,https://herramientas.cl/ficha/575593/taladro-reversible-makita-dp4700-510-w
Taladro Percutor Makita HP2050H 13mm 720 W,$97.930,Makita,https://herramientas.cl/ficha/575594/taladro-percutor-makita-hp2050h-13mm-720-w
Taladro Percutor Black&Decker HD400 550 W,$13.790,Black&Decker,https://herramientas.cl/ficha/599373/taladro-percutor-black-decker-hd400-550-w
Taladro Eléctrico Bosch GBM 23-2 1.150 W,,Bosch,https://herramientas.cl/ficha/575010/taladro-electrico-bosch-gbm-23-2-1150-w
Taladro Reversible Makita DS4000 500 rpm,$300.300,Makita,https://herramientas.cl/ficha/575595/taladro-reversible-makita-ds4000-500-rpm
Taladro percutor Skil 6664 550W,,Skil,https://herramientas.cl/ficha/575996/taladro-percutor-skil-6664-550w
Kit Taladro percutor Black&Decker HD455KA Mas De 40 Accesorios,$31.980,Black&Decker,https://herramientas.cl/ficha/599374/kit-taladro-percutor-black-decker-hd455ka-mas-de-40-accesorios
Taladro Bosch GBM 32-4 1.500 W,,Bosch,https://herramientas.cl/ficha/575011/taladro-bosch-gbm-32-4-1500-w
Taladro Percusión Reversible Makita HP2070F 1.010 W,$189.040,Makita,https://herramientas.cl/ficha/575596/taladro-percusion-reversible-makita-hp2070f-1010-w
Taladro percutor Skil 6060 600W,,Skil,https://herramientas.cl/ficha/576001/taladro-percutor-skil-6060-600w
Taladro de Impacto Bosch GSB-13 RE 650W,,Bosch,https://herramientas.cl/ficha/575014/taladro-de-impacto-bosch-gsb-13-re-650w
Taladro Percusión Reversible Makita HP2070FX 1.010 W,$214.010,Makita,https://herramientas.cl/ficha/575597/taladro-percusion-reversible-makita-hp2070fx-1010-w
Taladro de Percusion Stanley Stanley STDH8013 1/2 800 Watts,$43.920,Stanley,https://herramientas.cl/ficha/577000/taladro-de-percusion-stanley-stanley-stdh8013-12-800-watts
Taladro Percutor Milwaukee PD2E 22 RST 13mm,$211.500,Milwaukee,https://herramientas.cl/ficha/578880/taladro-percutor-milwaukee-pd2e-22-rst-13mm
Taldro Percutor Dongcheng DZJ02-13 500W,$31.620,Dongcheng,https://herramientas.cl/ficha/591603/taldro-percutor-dongcheng-dzj02-13-500w
Taladro de Percusión Inalámbrico Bosch GSB 180-LI 18V,,Bosch,https://herramientas.cl/ficha/601177/taladro-de-percusion-inalambrico-bosch-gsb-180-li-18v
Taladro Percutor (Solo Herramienta) Dewalt DCD778B 20 V,$159.900,Dewalt,https://herramientas.cl/ficha/611911/taladro-percutor-solo-herramienta-dewalt-dcd778b-20-v
Taladro De Percusión Bosch GSB 550 RE 550 W,,Bosch,https://herramientas.cl/ficha/586456/taladro-de-percusion-bosch-gsb-550-re-550-w
Taladro de Rotacion Stanley Stanley STDR5510 3/8 550 Watts,$35.440,Stanley,https://herramientas.cl/ficha/577002/taladro-de-rotacion-stanley-stanley-stdr5510-38-550-watts
Taladro Rotación 10 mm. 430 W. M6002G MAKITA-MT     Makita-Mt M6002G,$39.830,Makita-Mt,https://herramientas.cl/ficha/591962/taladro-rotacion-10-mm-430-w-m6002g-makita-mt-makita-mt-m6002g
Taladro de Percusión Bosch GSB 30-2 900 W,,Bosch,https://herramientas.cl/ficha/575022/taladro-de-percusion-bosch-gsb-30-2-900-w
Taladro Percusión Reversible Makita NHP1300S 2.700 rpm,$202.750,Makita,https://herramientas.cl/ficha/575599/taladro-percusion-reversible-makita-nhp1300s-2700-rpm
Taladro Rotación 13 mm. 750W. M6201G MAKITA-MT Makita-Mt M6201G,$85.740,Makita-Mt,https://herramientas.cl/ficha/591963/taladro-rotacion-13-mm-750w-m6201g-makita-mt-makita-mt-m6201g
Taladro Rotacion 16mm Dongcheng DJZ03-16A 1010 W,$49.010,Dongcheng,https://herramientas.cl/ficha/605682/taladro-rotacion-16mm-dongcheng-djz03-16a-1010-w
Taladro Rotación 6.5 mm. 230 W. M6501G MAKITA-MT Makita-Mt M6501G,$33.330,Makita-Mt,https://herramientas.cl/ficha/591964/taladro-rotacion-65-mm-230-w-m6501g-makita-mt-makita-mt-m6501g
Taladro de Pedestal Gladiator TC 932/25 32MM,$651.369,Gladiator,https://herramientas.cl/ficha/609096/taladro-de-pedestal-gladiator-tc-93225-32mm
Taladro Rotacion Dongcheng DJZ08-10 250 W,$35.940,Dongcheng,https://herramientas.cl/ficha/605683/taladro-rotacion-dongcheng-djz08-10-250-w
Taladro Angular Reversible Makita DA3010F 13 mm,$227.120,Makita,https://herramientas.cl/ficha/587857/taladro-angular-reversible-makita-da3010f-13-mm
Taladro Rotacion Dongcheng DJZ13 500W,$30.210,Dongcheng,https://herramientas.cl/ficha/605684/taladro-rotacion-dongcheng-djz13-500w
