product_family,product_name,product_price,product_brand,product_link
Linea Neumatica,Lijadora Roto Orbital Inálambrica Total TROSLI2001 20 V,51990,Total,https://herramientas.cl/ficha/614440/lijadora-roto-orbital-inalambrica-total-trosli2001-20-v
Linea Neumatica,Lijadora Orbital Rectangular Total TF1302206 350 W | 110 X 220 MM,59800,Total,https://herramientas.cl/ficha/614438/lijadora-orbital-rectangular-total-tf1302206-350-w-110-x-220-mm
Herramientas Inalámbricas,Sierra Caladora Inalámbrica Milwaukee 2737-20 18V,203640,Milwaukee,https://herramientas.cl/ficha/610673/sierra-caladora-inalambrica-milwaukee-2737-20-18v
Herramientas Inalámbricas,Rotomartillo Inalámbrico Einhell 4513900 18 V,97465,Einhell,https://herramientas.cl/ficha/603318/rotomartillo-inalambrico-einhell-4513900-18-v
Herramientas Inalámbricas,Combo de Taladro Percutor y Atornillador de Impacto Dewalt 77878724070 20 V,299900,Dewalt,https://herramientas.cl/ficha/611699/combo-de-taladro-percutor-y-atornillador-de-impacto-dewalt-77878724070-20-v
Linea Neumatica,Lijadora Orbital Rectangular Total TF1301826 180 X 90 MM | 320 W,37190,Total,https://herramientas.cl/ficha/614436/lijadora-orbital-rectangular-total-tf1301826-180-x-90-mm-320-w
Linea Neumatica,Compresor de Aire para Auto 12V 110PSI Total TTAC2506,47310,Total,https://herramientas.cl/ficha/614282/compresor-de-aire-para-auto-12v-110psi-total-ttac2506-
Linea Neumatica,Pistola de pintar boquilla 1.7mm MUZI LS230-1.7MM,21110,MUZI,https://herramientas.cl/ficha/614706/pistola-de-pintar-boquilla-17mm-muzi-ls230-17mm-
Linea Neumatica,Pistola texturado copón plástico MUZI FR-301,22539,MUZI,https://herramientas.cl/ficha/614707/pistola-texturado-copon-plastico-muzi-fr-301-
Herramientas Inalámbricas,Esmeril Angular Inalámbrico Einhell TE-AG 18 Li - Solo 18 V,37900,Einhell,https://herramientas.cl/ficha/610331/esmeril-angular-inalambrico-einhell-te-ag-18-li-solo-18-v
Herramientas Inalámbricas,Pulidora Inalámbrica Einhell CE-BC 18/254 Li Solo 18 V,35100,Einhell,https://herramientas.cl/ficha/597970/pulidora-inalambrica-einhell-ce-bc-18254-li-solo-18-v
