product_name,product_price,product_brand,product_link
AHOYADOR GP415XT POWERPRO Vielva GP415XT 2T,178900,Vielva,https://herramientas.cl/ficha/610587/ahoyador-gp415xt-powerpro-vielva-gp415xt-2t
Sierra Circular 7 1/4 Stanley SC16 1.600 W,58900,Stanley,https://herramientas.cl/ficha/611320/sierra-circular-7-14-stanley-sc16-1600-w
Martillo perforador Bosch GBH-8 - 45 DV 1.500W,712540,Bosch,https://herramientas.cl/ficha/575034/martillo-perforador-bosch-gbh-8-45-dv-1500w
Llave de Impacto Makita 6924N 1050W,2365310,Makita,https://herramientas.cl/ficha/575608/llave-de-impacto-makita-6924n-1050w
TALADRO 13 MM CROWN 600 W.,32670,Uyustools,https://herramientas.cl/ficha/584112/taladro-13-mm-crown-600-w
Esmeril GWS 7 115 con 3 Discos Bosch 06013880N3,39970,Bosch,https://herramientas.cl/ficha/588462/esmeril-gws-7-115-con-3-discos-bosch-06013880n3
Esmeril Angular Makita DGA901Z 6.000 rpm,214910,Makita,https://herramientas.cl/ficha/612253/esmeril-angular-makita-dga901z-6000-rpm
Taladro Percutor Dewalt DWD520 13 mm,174850,Dewalt,https://herramientas.cl/ficha/575284/taladro-percutor-dewalt-dwd520-13-mm
Multiherramienta 320W - Vel. Variable c/ maleta + ACC,130480,Makita,https://herramientas.cl/ficha/575720/multiherramienta-320w-vel-variable-c-maleta-acc
Esmeril Angular 9 Bosch GWS 2000 2.000W,77390,Bosch,https://herramientas.cl/ficha/598050/esmeril-angular-9-bosch-gws-2000-2000w
Esmeril Angular Dewalt DWE497 2.600 W,114750,Dewalt,https://herramientas.cl/ficha/600974/esmeril-angular-dewalt-dwe497-2600-w
Sierra Circular Dongcheng DMY02-185 1100W,60990,Dongcheng,https://herramientas.cl/ficha/605698/sierra-circular-dongcheng-dmy02-185-1100w
Esmeril Angular Makita GA4540 1.100 W,85780,Makita,https://herramientas.cl/ficha/575685/esmeril-angular-makita-ga4540-1100-w
Pistola de Calor Dewalt D26411 2.000 W,78760,Dewalt,https://herramientas.cl/ficha/575241/pistola-de-calor-dewalt-d26411-2000-w
Sierras circulares Bosch GKS 67 1.600 W,71990,Bosch,https://herramientas.cl/ficha/575080/sierras-circulares-bosch-gks-67-1600-w
Martillo Demoledor Makita Makita HM1317CB Hexagona,1016400,Makita,https://herramientas.cl/ficha/575650/martillo-demoledor-makita-makita-hm1317cb-hexagona
Lijadora Orbital 92 x 185 mm. 180 W Orbitas p/m. 11.000,61890,Makita,https://herramientas.cl/ficha/577065/lijadora-orbital-92-x-185-mm-180-w-orbitas-pm-11000
Sierra Caladora Black&Decker KS501 420 W,26740,Black&Decker,https://herramientas.cl/ficha/583126/sierra-caladora-black-decker-ks501-420-w
Sierra Circular 7 1/4 + Bolso Stanley SC16B 1.600 W,51000,Stanley,https://herramientas.cl/ficha/611321/sierra-circular-7-14-bolso-stanley-sc16b-1600-w
Lijadora de Banda Bosch GBS 75 AE 750W,167810,Bosch,https://herramientas.cl/ficha/575035/lijadora-de-banda-bosch-gbs-75-ae-750w
Atornillador Hexagonal 1/4 Makita FS4000 570W,88720,Makita,https://herramientas.cl/ficha/575609/atornillador-hexagonal-14-makita-fs4000-570w
Sierra circular Black&Decker CS1004 1.400 W,49860,Black&Decker,https://herramientas.cl/ficha/588472/sierra-circular-black-decker-cs1004-1400-w
TALADRO 13 MM CROWN 780 W,43560,Uyustools,https://herramientas.cl/ficha/584426/taladro-13-mm-crown-780-w
Taladro Percutor Dewalt DWD024 13 mm (1/2),49500,Dewalt,https://herramientas.cl/ficha/575286/taladro-percutor-dewalt-dwd024-13-mm-12
Sierra Caladora Makita 4329 450 W,112100,Makita,https://herramientas.cl/ficha/575721/sierra-caladora-makita-4329-450-w
Rotomartillo SDS Max Einhell TE-RH 38 E 1.050 W,159000,Einhell,https://herramientas.cl/ficha/577451/rotomartillo-sds-max-einhell-te-rh-38-e-1050-w
Martillo Cincelador Stanley Stanley SHM5K 5Kg.,234550,Stanley,https://herramientas.cl/ficha/588386/martillo-cincelador-stanley-stanley-shm5k-5kg
