product_brand,product_name,product_price,product_link
Bosch Herramientas,Kit Cyberday Sierra Caladora GST 90 BE+Set c/8 hoja de Sierra de Calar Bosch 0601.58F.0N0-000,108980,https://www.toolmania.cl/sierras-caladoras/kit-cyberday-sierra-caladora-gst-90-beset-c-8-hoja-de-sierra-de-calar-bosch-060158f0n0-000-6302.html
Bosch Herramientas,Kit Cyberday Sierra Caladora GST 90 E + Set c/8 hoja de Sierra de Calar Bosch 0601.58G.0E0-000,116480,https://www.toolmania.cl/sierras-caladoras/kit-cyberday-sierra-caladora-gst-90-e-set-c-8-hoja-de-sierra-de-calar-bosch-060158g0e0-000-6303.html
Bosch Herramientas,"Kit Cyberday Sierra Circular 7-1/4"" GKS 190+Disco de Sierra Circular 7-1/4” Bosch 0601.623.0N0-000",98980,https://www.toolmania.cl/sierras-circulares/kit-cyberday-sierra-circular-7-1-4-gks-190disco-de-sierra-circular-7-1-4-bosch-06016230n0-000-6304.html
Bosch Herramientas,"Kit Cyberday Sierra Circular 7-1/4"" GKS 67 + Disco de Sierra Circular 7-1/4” Bosch 0601.623.0E4-000",108480,https://www.toolmania.cl/sierras-circulares/kit-cyberday-sierra-circular-7-1-4-gks-67-disco-de-sierra-circular-7-1-4-bosch-06016230e4-000-6305.html
Bosch Herramientas,"Kit Cyberday Sierra Circular 7-1/4"" GKS 65 GCE + Riel 800 mm de largo Bosch 0601.668.7N1-000",177480,https://www.toolmania.cl/sierras-circulares/kit-cyberday-sierra-circular-7-1-4-gks-65-gce-riel-800-mm-de-largo-bosch-06016687n1-000-6306.html
Bosch Herramientas,"Kit Cyberday Sierra Circular 9 1/4"" GKS 235+ Disco de Sierra Circular 235mm Bosch 0601.57A.0E0-000",202980,https://www.toolmania.cl/sierras-circulares/kit-cyberday-sierra-circular-9-1-4-gks-235-disco-de-sierra-circular-235mm-bosch-060157a0e0-000-6307.html
Bosch Herramientas,Kit Cyberday Taladro de Percusión GSB 550 RE+Set X-LINE 7 Brocas Madera Bosch 0601.1A0.2E0-000,50480,https://www.toolmania.cl/taladros/kit-cyberday-taladro-de-percusion-gsb-550-reset-x-line-7-brocas-madera-bosch-06011a02e0-000-6308.html
Bosch Herramientas,Kit Cyberday Taladro Percusión GSB 13 RE+Set 13 Brocas para Metal Bosch 0601.23D.5E0-000,55980,https://www.toolmania.cl/taladros/kit-cyberday-taladro-percusion-gsb-13-reset-13-brocas-para-metal-bosch-060123d5e0-000-6309.html
Bosch Herramientas,Kit Cyberday Taladro Percusión GSB 13 RE + Set 13 Brocas para Metal Bosch 0601.23D.5E1-000,57480,https://www.toolmania.cl/taladros/kit-cyberday-taladro-percusion-gsb-13-re-set-13-brocas-para-metal-bosch-060123d5e1-000-6310.html
Bosch Herramientas,Kit Cyberday Taladro Percusión GSB 16 RE + Set Broca Metal 10 pzs Bosch 0601.228.1E1-000,79980,https://www.toolmania.cl/taladros/kit-cyberday-taladro-percusion-gsb-16-re-set-broca-metal-10-pzs-bosch-06012281e1-000-6311.html
